epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
11,61.6107,0.71173,0.98999,0.90774,0.82271,0,0.85861,0.5947,0.84341,0.71901,0.85861,0.5947,0.84419,0.64892,0.70479,1.05552,1.83784,0.80702,0,0.000574882,0.000574882,0.000574882
12,66.9374,0.73006,1.02232,0.93187,0.83583,0,0.90158,0.6572,0.88041,0.72999,0.90158,0.6572,0.8812,0.70514,0.74326,0.99367,1.77627,0.81985,0,0.000612846,0.000612846,0.000612846
13,72.2497,0.67111,0.90252,0.79697,0.83263,0,0.95432,0.68248,0.92192,0.76758,0.95432,0.68248,0.92192,0.6882,0.70138,1.14232,1.59623,0.81955,0,0.00064817,0.00064817,0.00064817
14,77.9187,0.66431,0.96697,0.77546,0.83145,0,0.91957,0.70636,0.93929,0.76757,0.91957,0.70636,0.93875,0.70429,0.69251,1.11333,1.50846,0.81823,0,0.000680853,0.000680853,0.000680853
15,83.2862,0.69099,1.00253,0.82888,0.83153,0,0.92904,0.81448,0.94545,0.80128,0.92904,0.81448,0.94545,0.734,0.63595,0.92009,1.4533,0.81057,0,0.000710895,0.000710895,0.000710895
16,88.8776,0.66595,1.01734,0.77903,0.82319,0,0.92904,0.81448,0.94545,0.80128,0.92904,0.81448,0.94545,0.734,0.63595,0.92009,1.4533,0.81057,0,0.000738298,0.000738298,0.000738298
17,94.5073,0.65685,0.94097,0.76902,0.8208,0,0.94322,0.91934,0.95494,0.80631,0.94322,0.91934,0.95495,0.75118,0.63297,0.82804,1.33714,0.81035,0,0.000763059,0.000763059,0.000763059
18,100.016,0.62949,0.89274,0.71295,0.82463,0,0.97606,0.93653,0.96345,0.81709,0.97606,0.93653,0.96345,0.77365,0.6391,0.84815,1.2358,0.81003,0,0.00078518,0.00078518,0.00078518
19,104.708,0.59656,0.90073,0.69676,0.8139,0,0.97606,0.93653,0.96345,0.81709,0.97606,0.93653,0.96345,0.77365,0.6391,0.84815,1.2358,0.81003,0,0.000804661,0.000804661,0.000804661
20,109.002,0.60262,0.88585,0.70594,0.81528,0,0.97859,0.93905,0.96867,0.8136,0.97859,0.93905,0.96861,0.76466,0.61967,0.88302,1.11849,0.80854,0,0.000821501,0.000821501,0.000821501
21,112.987,0.62913,0.94612,0.73681,0.83273,0,0.97434,0.94584,0.97236,0.81921,0.97434,0.94584,0.97137,0.7612,0.60823,0.81532,0.98182,0.81188,0,0.0008357,0.0008357,0.0008357
22,116.873,0.56799,0.82957,0.67096,0.82484,0,0.97434,0.94584,0.97236,0.81921,0.97434,0.94584,0.97137,0.7612,0.60823,0.81532,0.98182,0.81188,0,0.000847259,0.000847259,0.000847259
23,120.939,0.62897,0.92751,0.68258,0.82575,0,0.97798,0.93406,0.97396,0.83251,0.97798,0.93406,0.97396,0.77606,0.63204,0.75449,0.92962,0.81557,0,0.000856178,0.000856178,0.000856178
24,125.237,0.61391,0.87384,0.63534,0.82287,0,0.97798,0.93406,0.97396,0.83251,0.97798,0.93406,0.97396,0.77606,0.63204,0.75449,0.92962,0.81557,0,0.000862456,0.000862456,0.000862456
25,129.416,0.5999,0.83475,0.65358,0.82083,0,0.97627,0.93406,0.97465,0.85015,0.97627,0.93406,0.97465,0.78817,0.5894,0.71255,0.88004,0.81174,0,0.000866093,0.000866093,0.000866093
26,133.557,0.58077,0.79253,0.64973,0.82091,0,0.97627,0.93406,0.97465,0.85015,0.97627,0.93406,0.97465,0.78817,0.5894,0.71255,0.88004,0.81174,0,0.000841835,0.000841835,0.000841835
27,137.871,0.58509,0.83326,0.63816,0.81575,0,0.97382,0.93406,0.97552,0.85706,0.97382,0.93406,0.97552,0.78219,0.55568,0.70016,0.81279,0.80617,0,0.000808828,0.000808828,0.000808828
28,142.237,0.5773,0.88167,0.65036,0.82339,0,0.97382,0.93406,0.97552,0.85706,0.97382,0.93406,0.97552,0.78219,0.55568,0.70016,0.81279,0.80617,0,0.000775822,0.000775822,0.000775822
29,146.553,0.55465,0.79539,0.61025,0.82241,0,0.97362,0.9597,0.97998,0.86047,0.97362,0.9597,0.97998,0.78612,0.55917,0.69193,0.72625,0.80809,0,0.000742815,0.000742815,0.000742815
30,150.652,0.55735,0.76007,0.60242,0.81285,0,0.97362,0.9597,0.97998,0.86047,0.97362,0.9597,0.97998,0.78612,0.55917,0.69193,0.72625,0.80809,0,0.000709809,0.000709809,0.000709809
31,155.024,0.56205,0.82613,0.59744,0.81612,0,0.97234,0.97312,0.98221,0.86131,0.97234,0.97312,0.98221,0.79564,0.54765,0.68319,0.6625,0.8067,0,0.000676802,0.000676802,0.000676802
32,159.317,0.5147,0.78682,0.59319,0.815,0,0.97234,0.97312,0.98221,0.86131,0.97234,0.97312,0.98221,0.79564,0.54765,0.68319,0.6625,0.8067,0,0.000643795,0.000643795,0.000643795
33,163.654,0.51444,0.78889,0.57102,0.80711,0,0.97379,0.97312,0.98279,0.86134,0.97379,0.97312,0.98279,0.807,0.51621,0.65019,0.61192,0.80318,0,0.000610789,0.000610789,0.000610789
34,168.12,0.50161,0.78384,0.57154,0.80827,0,0.97379,0.97312,0.98279,0.86134,0.97379,0.97312,0.98279,0.807,0.51621,0.65019,0.61192,0.80318,0,0.000577782,0.000577782,0.000577782
35,172.339,0.53551,0.7768,0.59,0.80359,0,0.97606,0.97312,0.98251,0.87373,0.97606,0.97312,0.98251,0.80335,0.48887,0.64031,0.58244,0.8005,0,0.000544776,0.000544776,0.000544776
36,176.381,0.48302,0.74555,0.53235,0.80056,0,0.97606,0.97312,0.98251,0.87373,0.97606,0.97312,0.98251,0.80335,0.48887,0.64031,0.58244,0.8005,0,0.000511769,0.000511769,0.000511769
37,180.74,0.46794,0.71037,0.54063,0.80504,0,0.97772,0.97312,0.98035,0.87298,0.97772,0.97312,0.98035,0.80205,0.50154,0.63937,0.57721,0.80134,0,0.000478762,0.000478762,0.000478762
38,184.475,0.51307,0.75786,0.56057,0.80675,0,0.97772,0.97312,0.98035,0.87298,0.97772,0.97312,0.98035,0.80205,0.50154,0.63937,0.57721,0.80134,0,0.000445756,0.000445756,0.000445756
39,188.339,0.51417,0.78191,0.58366,0.82093,0,0.97793,0.97312,0.98139,0.88488,0.97793,0.97312,0.98139,0.80562,0.4532,0.63711,0.54816,0.7959,0,0.000412749,0.000412749,0.000412749
40,192.605,0.45835,0.6892,0.53762,0.81241,0,0.97793,0.97312,0.98139,0.88488,0.97793,0.97312,0.98139,0.80562,0.4532,0.63711,0.54816,0.7959,0,0.000379743,0.000379743,0.000379743
41,198.369,0.4669,0.75296,0.5546,0.79421,0,0.97732,0.97312,0.98,0.88729,0.97732,0.97312,0.98,0.79486,0.43622,0.62694,0.50283,0.79346,0,0.000346736,0.000346736,0.000346736
42,202.154,0.47114,0.6957,0.52982,0.80776,0,0.97732,0.97312,0.98,0.88729,0.97732,0.97312,0.98,0.79486,0.43622,0.62694,0.50283,0.79346,0,0.000313729,0.000313729,0.000313729
43,206.049,0.46579,0.70768,0.49873,0.79168,0,0.96131,0.99462,0.98011,0.88582,0.96131,0.99462,0.98011,0.80189,0.43494,0.62705,0.47814,0.79303,0,0.000280723,0.000280723,0.000280723
44,209.721,0.4741,0.73321,0.52573,0.78972,0,0.96131,0.99462,0.98011,0.88582,0.96131,0.99462,0.98011,0.80189,0.43494,0.62705,0.47814,0.79303,0,0.000247716,0.000247716,0.000247716
45,213.402,0.46252,0.72001,0.51922,0.7916,0,0.96083,0.99462,0.98034,0.88302,0.96083,0.99462,0.98034,0.80494,0.42885,0.62317,0.45995,0.7925,0,0.00021471,0.00021471,0.00021471
46,217.076,0.46128,0.69343,0.51354,0.80117,0,0.96083,0.99462,0.98034,0.88302,0.96083,0.99462,0.98034,0.80494,0.42885,0.62317,0.45995,0.7925,0,0.000181703,0.000181703,0.000181703
47,221.083,0.44163,0.67937,0.51426,0.78494,0,0.96464,0.99462,0.98142,0.88699,0.96464,0.99462,0.98142,0.80936,0.43136,0.61823,0.45129,0.79234,0,0.000148696,0.000148696,0.000148696
48,225.301,0.46311,0.75645,0.52623,0.78705,0,0.96464,0.99462,0.98142,0.88699,0.96464,0.99462,0.98142,0.80936,0.43136,0.61823,0.45129,0.79234,0,0.00011569,0.00011569,0.00011569
49,229.361,0.45877,0.74289,0.50961,0.79081,0,0.97081,0.99462,0.98237,0.88372,0.97081,0.99462,0.98237,0.80341,0.43309,0.61747,0.44613,0.79286,0,8.26832e-05,8.26832e-05,8.26832e-05
50,233.125,0.46386,0.75446,0.52155,0.80369,0,0.97081,0.99462,0.98237,0.88372,0.97081,0.99462,0.98237,0.80341,0.43309,0.61747,0.44613,0.79286,0,4.96766e-05,4.96766e-05,4.96766e-05
